run_id,experiment_id,status,artifact_uri,start_time,end_time,Train Accuracy,Val Accuracy,Train F1,Val F1,metrics.Training Recall Curve,metrics.Validation Recall Curve,metrics.Training Precision Curve,metrics.Validation Precision Curve,Best Val Accuracy,Model,Learning Rate,Batch Size,Optimizer,Weight Decay,Epochs,params.window_size
7abd4af5034645fd8e91cf706c885a29,218161802371806082,FINISHED,file:///Users/sanjeev/VNIT/FINAL_PRJ_PHASE2/wifi_project-phase-2/src/phase2/mlruns/218161802371806082/7abd4af5034645fd8e91cf706c885a29/artifacts,2025-10-22 17:29:17.319000+00:00,2025-10-22 18:44:58.668000+00:00,0.981575955455791,0.9840251865671642,0.981575017125816,0.9840004326607728,0.981575955455791,0.9840251865671642,0.9815793129800257,0.9847192294806284,,DenseNet1D,0.0005,16,adam,0.0001,100,
269a4bff74294cb0b6ff6a8d597f4d03,218161802371806082,FINISHED,file:///Users/sanjeev/VNIT/FINAL_PRJ_PHASE2/wifi_project-phase-2/src/phase2/mlruns/218161802371806082/269a4bff74294cb0b6ff6a8d597f4d03/artifacts,2025-10-22 14:12:10.912000+00:00,2025-10-22 15:06:24.941000+00:00,0.9917499927120077,0.9815764925373134,0.9917494452696026,0.9815763797982833,0.9917499927120077,0.9815764925373134,0.9917519875922354,0.9817831473762524,,CSILSTMNet,0.0005,16,adam,0.0001,100,128
7ae252a25a03435eac88f903ee6f08d6,218161802371806082,FINISHED,file:///Users/sanjeev/VNIT/FINAL_PRJ_PHASE2/wifi_project-phase-2/src/phase2/mlruns/218161802371806082/7ae252a25a03435eac88f903ee6f08d6/artifacts,2025-10-22 15:35:25.395000+00:00,2025-10-22 16:50:48.367000+00:00,0.9754540419205318,0.9798274253731343,0.9754483919423874,0.9798489322921741,0.9754540419205318,0.9798274253731343,0.9754513772780166,0.980317674061002,,DenseNet1D,0.001,16,adam,0.0001,100,
c297531e74c84c1fa588691632c11342,218161802371806082,FINISHED,file:///Users/sanjeev/VNIT/FINAL_PRJ_PHASE2/wifi_project-phase-2/src/phase2/mlruns/218161802371806082/c297531e74c84c1fa588691632c11342/artifacts,2025-10-22 12:48:33.321000+00:00,2025-10-22 13:43:02.792000+00:00,0.9865317902224295,0.9793610074626866,0.9865288881938966,0.9792963961187812,0.9865317902224295,0.9793610074626866,0.9865336028173309,0.9796966339327284,,CSILSTMNet,0.001,16,adam,0.0001,100,128
0650a93992aa47e7b966a24902aaf590,218161802371806082,FINISHED,file:///Users/sanjeev/VNIT/FINAL_PRJ_PHASE2/wifi_project-phase-2/src/phase2/mlruns/218161802371806082/0650a93992aa47e7b966a24902aaf590/artifacts,2025-10-22 13:43:08.809000+00:00,2025-10-22 14:12:08.469000+00:00,0.04256187505465994,0.04395988805970149,0.015886217274988002,0.017310583706567285,0.04256187505465994,0.04395988805970149,0.014481343193251563,0.01615480808721069,,CSILSTMNet,0.001,32,adam,0.0001,100,128
59c7d5265dc14224aca13c247c6c4c32,218161802371806082,FINISHED,file:///Users/sanjeev/VNIT/FINAL_PRJ_PHASE2/wifi_project-phase-2/src/phase2/mlruns/218161802371806082/59c7d5265dc14224aca13c247c6c4c32/artifacts,2025-10-22 16:50:55.413000+00:00,2025-10-22 17:29:14.494000+00:00,0.03355391656706411,0.03369869402985075,0.0021786290950917124,0.0021971624533845156,0.03355391656706411,0.03369869402985075,0.001125865316989499,0.0011356019793174984,,DenseNet1D,0.001,32,adam,0.0001,100,
7449c90f0b134e3faa6c9cc0daa3bd01,218161802371806082,FINISHED,file:///Users/sanjeev/VNIT/FINAL_PRJ_PHASE2/wifi_project-phase-2/src/phase2/mlruns/218161802371806082/7449c90f0b134e3faa6c9cc0daa3bd01/artifacts,2025-10-22 18:45:05.551000+00:00,2025-10-22 19:23:28.588000+00:00,0.03317494096726234,0.03346548507462686,0.002130475032913549,0.002167346094193368,0.03317494096726234,0.03346548507462686,0.001100576708181341,0.0011199386912800733,,DenseNet1D,0.0005,32,adam,0.0001,100,
a59958b6017d459cb4621db67a4d755d,218161802371806082,FINISHED,file:///Users/sanjeev/VNIT/FINAL_PRJ_PHASE2/wifi_project-phase-2/src/phase2/mlruns/218161802371806082/a59958b6017d459cb4621db67a4d755d/artifacts,2025-10-22 19:23:31.665000+00:00,2025-10-22 21:04:19.137000+00:00,0.12870594408652306,0.03148320895522388,0.052636239496559836,0.0019218780054059345,0.12870594408652306,0.03148320895522388,0.03830195971239392,0.0009911924461182891,,EfficientNet1DLSTM,0.001,16,adam,0.0001,100,
0d3303a3ea3746939c16235bd607abd4,218161802371806082,FINISHED,file:///Users/sanjeev/VNIT/FINAL_PRJ_PHASE2/wifi_project-phase-2/src/phase2/mlruns/218161802371806082/0d3303a3ea3746939c16235bd607abd4/artifacts,2025-10-22 15:06:31.150000+00:00,2025-10-22 15:35:22.864000+00:00,0.02711133137043407,0.02728544776119403,0.0029564353717468645,0.0030004169189255304,0.02711133137043407,0.02728544776119403,0.0015638454161901343,0.0015881502997844368,,CSILSTMNet,0.0005,32,adam,0.0001,100,128
e116cda39ad04214b9861e4dd3cb5106,218161802371806082,FINISHED,file:///Users/sanjeev/VNIT/FINAL_PRJ_PHASE2/wifi_project-phase-2/src/phase2/mlruns/218161802371806082/e116cda39ad04214b9861e4dd3cb5106/artifacts,2025-10-23 01:54:19.967000+00:00,2025-10-23 02:37:33.113000+00:00,0.023204967495554323,0.020988805970149255,0.005929517823584874,0.00734233642050334,0.023204967495554323,0.020988805970149255,0.015954633925410626,0.023152191168532805,,MobileNetV3_1D_LSTM,0.001,32,adam,0.0001,100,
d3ae37efe64b4710ba13974a8891a965,218161802371806082,FINISHED,file:///Users/sanjeev/VNIT/FINAL_PRJ_PHASE2/wifi_project-phase-2/src/phase2/mlruns/218161802371806082/d3ae37efe64b4710ba13974a8891a965/artifacts,2025-10-23 04:02:11.264000+00:00,2025-10-23 04:45:30.781000+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,MobileNetV3_1D_LSTM,0.0005,32,adam,0.0001,100,
d38dedfb78744e50a3d1e2153520e1df,218161802371806082,FINISHED,file:///Users/sanjeev/VNIT/FINAL_PRJ_PHASE2/wifi_project-phase-2/src/phase2/mlruns/218161802371806082/d38dedfb78744e50a3d1e2153520e1df/artifacts,2025-10-23 02:37:35.861000+00:00,2025-10-23 04:02:11.189000+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,MobileNetV3_1D_LSTM,0.0005,16,adam,0.0001,100,
b316683f11504418aaa73dd6cea6695e,218161802371806082,FINISHED,file:///Users/sanjeev/VNIT/FINAL_PRJ_PHASE2/wifi_project-phase-2/src/phase2/mlruns/218161802371806082/b316683f11504418aaa73dd6cea6695e/artifacts,2025-10-23 00:29:40.949000+00:00,2025-10-23 01:54:19.888000+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,MobileNetV3_1D_LSTM,0.001,16,adam,0.0001,100,
e1a95249e56f41ed8146c347259bcfd8,218161802371806082,FINISHED,file:///Users/sanjeev/VNIT/FINAL_PRJ_PHASE2/wifi_project-phase-2/src/phase2/mlruns/218161802371806082/e1a95249e56f41ed8146c347259bcfd8/artifacts,2025-10-22 23:37:43.548000+00:00,2025-10-23 00:29:40.873000+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,EfficientNet1DLSTM,0.0005,32,adam,0.0001,100,
6d2debb4d2904aacb1de16bee5aa0452,218161802371806082,FINISHED,file:///Users/sanjeev/VNIT/FINAL_PRJ_PHASE2/wifi_project-phase-2/src/phase2/mlruns/218161802371806082/6d2debb4d2904aacb1de16bee5aa0452/artifacts,2025-10-22 21:56:12.670000+00:00,2025-10-22 23:37:43.483000+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,EfficientNet1DLSTM,0.0005,16,adam,0.0001,100,
ccdee4adc9d6402bb3c6dce3c3c1ab8b,218161802371806082,FINISHED,file:///Users/sanjeev/VNIT/FINAL_PRJ_PHASE2/wifi_project-phase-2/src/phase2/mlruns/218161802371806082/ccdee4adc9d6402bb3c6dce3c3c1ab8b/artifacts,2025-10-22 21:04:24.740000+00:00,2025-10-22 21:56:12.598000+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,EfficientNet1DLSTM,0.001,32,adam,0.0001,100,
9f679fb4538b4684840d582fe640239d,218161802371806082,FINISHED,file:///Users/sanjeev/VNIT/FINAL_PRJ_PHASE2/wifi_project-phase-2/src/phase2/mlruns/218161802371806082/9f679fb4538b4684840d582fe640239d/artifacts,2025-10-23 04:45:33.666000+00:00,2025-10-23 04:45:33.769000+00:00,,,,,,,,,,,,,,,,
04936079e08b48428c8caef69256aaab,218161802371806082,FINISHED,file:///Users/sanjeev/VNIT/FINAL_PRJ_PHASE2/wifi_project-phase-2/src/phase2/mlruns/218161802371806082/04936079e08b48428c8caef69256aaab/artifacts,2025-10-23 00:29:40.943000+00:00,2025-10-23 04:45:33.665000+00:00,,,,,,,,,0.03439832089552239,,,,,,,
